codigo_municipio,year,round,left_share,right_share,abstention_rate,delta_left,delta_right,delta_abstention
05059,2018,1,0.05721784776902887,0.6797900262467191,,,0.24733827499582567,
05059,2018,2,0.1039651837524178,0.8409090909090909,,,0.27361604875571355,
05059,2022,1,0.10593607305936073,0.6442922374429224,,0.04871822529033186,-0.035497788803796726,
05059,2022,2,0.16586306653809066,0.7979749276759884,,0.06189788278567286,-0.04293416323310251,
05079,2002,1,0.1788926115323576,0.5911655792629166,,,,
05079,2006,1,0.2681504599211564,0.6048784494086727,,0.08925784838879877,0.013712870145756173,
05079,2010,1,0.03356926188068756,0.44448938321536907,,-0.2345811980404688,-0.16038906619330368,
05079,2010,2,,0.7007216959855661,,,,
05079,2014,1,,0.3353880638834407,,,-0.10910131933192835,
05079,2014,2,,0.5184822521419828,,,-0.18223944384358326,
05079,2018,1,0.07485922490891024,0.48246817773150996,,,0.14708011384806924,
05079,2018,2,0.21094541769219632,0.7017035857342793,,,0.18322133359229642,
05079,2022,1,0.24365414536563682,0.4118693042898422,,0.16879492045672656,-0.07059887344166776,
05079,2022,2,0.33800822899615096,0.5989028005132062,,0.12706281130395464,-0.10280078522107305,
05086,2002,1,0.11528497409326424,0.667098445595855,,,,
05086,2006,1,0.09943820224719101,0.6662921348314607,,-0.015846771846073235,-0.0008063107643943024,
05086,2010,1,0.017084890549919914,0.40736785904965295,,-0.08235331169727109,-0.2589242757818077,
05086,2010,2,,0.7575070821529745,,,,
05086,2014,1,,0.3215731636784268,,,-0.08579469537122614,
05086,2014,2,,0.5070354196991752,,,-0.25047166245379926,
05086,2018,1,0.02702702702702703,0.585290208241028,,,0.26371704456260114,
05086,2018,2,0.09784045835169679,0.8391361833406787,,,0.33210076364150354,
05086,2022,1,0.09596146721007781,0.584290477954798,,0.06893444018305078,-0.0009997302862299051,
05086,2022,2,0.1431185944363104,0.8096632503660323,,0.045278136084613604,-0.029472932974646482,
05088,2002,1,0.12714779784784463,0.6392983936811397,,,,
05088,2006,1,0.2463425380582856,0.6477147044806719,,0.11919474021044096,0.0084163107995322,
05088,2010,1,0.04664342678384805,0.3562786260880544,,-0.19969911127443754,-0.29143607839261754,
05088,2010,2,,0.626904782701913,,,,
05088,2014,1,,0.293063906795987,,,-0.0632147192920674,
05088,2014,2,,0.4997628772928236,,,-0.12714190540908937,
05088,2018,1,0.085688569827103,0.46965140344069334,,,0.17658749664470635,
05088,2018,2,0.23196340433100626,0.6876695273244697,,,0.18790665003164614,
05088,2022,1,0.266667688597298,0.465407648128845,,0.180979118770195,-0.004243755311848341,
05088,2022,2,0.3631066240663814,0.585345640854577,,0.13114321973537513,-0.10232388646989277,
05091,2002,1,0.3117408906882591,0.5483580746738641,,,,
05091,2006,1,0.07425949103045473,0.7843137254901961,,-0.23748139965780438,0.23595565081633196,
05091,2010,1,0.008463100880162491,0.7538930264048748,,-0.06579639015029225,-0.0304206990853213,
05091,2010,2,,0.891193363114231,,,,
05091,2014,1,,0.6967665615141956,,,-0.057126464890679185,
05091,2014,2,,0.8018310691080921,,,-0.08936229400613893,
05091,2018,1,0.031086387434554975,0.7293848167539267,,,0.032618255239731164,
05091,2018,2,0.0808450704225352,0.8904225352112676,,,0.08859146610317548,
05091,2022,1,0.10805860805860806,0.5879120879120879,,0.0769722206240531,-0.1414727288418388,
05091,2022,2,0.1645045542368203,0.8153463980126967,,0.0836594838142851,-0.07507613719857087,
05093,2002,1,0.2493208572290975,0.5976456383942047,,,,
05093,2006,1,0.03336921420882669,0.8684068891280947,,-0.2159516430202708,0.27076125073389,
05093,2010,1,0.007949790794979079,0.7997907949790795,,-0.025419423413847612,-0.06861609414901526,
05093,2010,2,,0.9256292906178489,,,,
05093,2014,1,,0.650565034345225,,,-0.1492257606338545,
05093,2014,2,,0.7915170172738156,,,-0.1341122733440333,
05093,2018,1,0.028072837632776935,0.7852807283763278,,,0.13471569403110284,
05093,2018,2,0.04549660703269587,0.9228871067242443,,,0.13137008945042872,
05093,2022,1,0.08198707592891762,0.5595718901453958,,0.053914238296140685,-0.22570883823093202,
05093,2022,2,0.11545719677474696,0.8555498370217877,,0.06996058974205109,-0.06733726970245668,
05101,2002,1,0.21785468714187486,0.5746046298418519,,,,
05101,2006,1,0.08484573502722323,0.815562613430127,,-0.13300895211465164,0.24095798358827514,
