codigo_municipio,pct_ingresos_propios,gastos_totales_per_capita,transferencias_per_capita,ingresos_tributarios_per_capita
19001,0.9673378395251272,1117451.2628571428,10665.83857142857,261515.67857142858
19022,0.35630516827311404,1026956.5271428571,93451.00714285715,48765.19142857142
19050,0.6909605064004243,1109573.35,57836.700000000004,105113.35571428572
19075,0.5230956197710829,901050.3628571428,144538.4314285714,77880.85714285714
19100,0.5933254411538665,926299.0199999999,31529.125714285714,39815.68714285714
19110,0.5585137304695358,673214.2885714286,39887.90714285714,54322.840000000004
19130,0.6620064603351389,820203.6785714285,34566.52714285714,60575.73285714286
19137,0.5771097699261775,730022.9857142858,28389.412857142856,31449.592857142856
19142,0.8918800180228825,1081663.9257142856,36687.94714285714,340471.12857142853
19212,0.7353399655455638,948241.9142857144,41072.91285714286,108205.52
19256,0.629045970661107,758196.6842857143,23462.95,34506.521428571425
19290,0.3331794093640995,1644343.1314285714,186531.6885714286,69414.94
19300,0.9217154899235106,1096506.2871428572,52844.56857142858,626818.3171428571
19318,0.5068080126936821,723309.4957142856,54110.280000000006,74883.50428571428
19355,0.5702745503500986,788241.0285714285,42991.76428571429,52989.18142857143
19364,0.4161286842749851,952664.4657142857,85118.78857142858,58333.83285714286
19392,0.33882739461873035,1137638.0799999998,117028.71142857142,58649.20142857143
