codigo_municipio,year,round,candidate,votes,total_votes,registered_voters,vote_share
05093,2002,1,TOVAR,9,3313,,0.00271657108361
05093,2002,1,VOTOS EN BLANCO,88,3313,,0.0265620283730757
05093,2002,1,VOTOS NULOS,77,3313,,0.0232417748264412
05093,2002,1,alvaro_uribe,1980,3313,,0.5976456383942047
05093,2002,1,horacio_serpa,826,3313,,0.2493208572290975
05093,2002,1,ingrid_betancourt,19,3313,,0.0057349833987322
05093,2002,1,luis_eduardo_garzon,34,3313,,0.0102626018714156
05093,2002,1,noemi_sanin,184,3313,,0.0555387865982493
05101,2002,1,BEDOYA,18,8726,,0.0020628008251203
05101,2002,1,CARDONA,13,8726,,0.0014898005959202
05101,2002,1,CRISTANCHO,9,8726,,0.0010314004125601
05101,2002,1,LORA,7,8726,,0.0008022003208801
05101,2002,1,RINCON,6,8726,,0.0006876002750401
05101,2002,1,TARJETAS NO MARCADAS,60,8726,,0.0068760027504011
05101,2002,1,TOVAR,94,8726,,0.0107724043089617
05101,2002,1,VOTOS EN BLANCO,138,8726,,0.0158148063259225
05101,2002,1,VOTOS NULOS,132,8726,,0.0151272060508824
05101,2002,1,alvaro_uribe,5014,8726,,0.5746046298418519
05101,2002,1,horacio_serpa,1901,8726,,0.2178546871418748
05101,2002,1,ingrid_betancourt,35,8726,,0.0040110016044006
05101,2002,1,luis_eduardo_garzon,172,8726,,0.0197112078844831
05101,2002,1,noemi_sanin,1127,8726,,0.1291542516617006
05107,2002,1,BEDOYA,12,702,,0.017094017094017
05107,2002,1,CARDONA,11,702,,0.0156695156695156
05107,2002,1,CRISTANCHO,3,702,,0.0042735042735042
05107,2002,1,LORA,5,702,,0.0071225071225071
05107,2002,1,RINCON,1,702,,0.0014245014245014
05107,2002,1,TARJETAS NO MARCADAS,48,702,,0.0683760683760683
05107,2002,1,TOVAR,8,702,,0.0113960113960113
05107,2002,1,VOTOS EN BLANCO,69,702,,0.0982905982905982
05107,2002,1,VOTOS NULOS,52,702,,0.074074074074074
05107,2002,1,alvaro_uribe,217,702,,0.3091168091168091
05107,2002,1,horacio_serpa,122,702,,0.1737891737891738
05107,2002,1,ingrid_betancourt,10,702,,0.0142450142450142
