"","annoh","corp","codcirc","coddepto","codmpio","nommun","nomdepto","codparti","nomparti","eleccion","votos","censo","color","partido"
"83",2022,12,0,1,"05036","Angelópolis","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",6,5036,"#A97C20","COLOMBIA JUSTA LIBRES"
"84",2022,12,0,1,"05036","Angelópolis","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",4,5036,"#dddddd","OTROS"
"85",2022,12,0,1,"05036","Angelópolis","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",4,5036,"#dddddd","OTROS"
"86",2022,12,0,1,"05036","Angelópolis","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",4,5036,"#dddddd","OTROS"
"87",2022,12,0,1,"05038","Angostura","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",1527,8434,"#871953","COALICION EQUIPO POR COLOMBIA"
"88",2022,12,0,1,"05038","Angostura","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",912,8434,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"89",2022,12,0,1,"05038","Angostura","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",338,8434,"#1b3383","COALICION PACTO HISTORICO"
"90",2022,12,0,1,"05038","Angostura","Antioquia",1233,"COALICION CENTRO ESPERANZA","Presidencia 1era vuelta",264,8434,"#dddddd","OTROS"
"91",2022,12,0,1,"05038","Angostura","Antioquia",996,"VOTOS EN BLANCO","Presidencia 1era vuelta",87,8434,"#dddddd","OTROS"
"92",2022,12,0,1,"05038","Angostura","Antioquia",997,"VOTOS NULOS","Presidencia 1era vuelta",82,8434,"#808080","VOTOS NULOS"
"93",2022,12,0,1,"05038","Angostura","Antioquia",998,"VOTOS NO MARCADOS","Presidencia 1era vuelta",32,8434,"#dddddd","OTROS"
"94",2022,12,0,1,"05038","Angostura","Antioquia",302,"PARTIDO MOVIMIENTO DE SALVACION NACIONAL","Presidencia 1era vuelta",21,8434,"#dddddd","OTROS"
"95",2022,12,0,1,"05038","Angostura","Antioquia",304,"PARTIDO VERDE OXIGENO","Presidencia 1era vuelta",13,8434,"#dddddd","OTROS"
"96",2022,12,0,1,"05038","Angostura","Antioquia",527,"COLOMBIA PIENSA EN GRANDE","Presidencia 1era vuelta",9,8434,"#dddddd","OTROS"
"97",2022,12,0,1,"05038","Angostura","Antioquia",14,"COLOMBIA JUSTA LIBRES","Presidencia 1era vuelta",6,8434,"#A97C20","COLOMBIA JUSTA LIBRES"
"98",2022,12,0,1,"05040","Anorí","Antioquia",1076,"LIGA DE GOBERNANTES ANTICORRUPCION","Presidencia 1era vuelta",1226,9831,"#f07605","LIGA DE GOBERNANTES ANTICORRUPCION"
"99",2022,12,0,1,"05040","Anorí","Antioquia",1234,"COALICION EQUIPO POR COLOMBIA","Presidencia 1era vuelta",1024,9831,"#871953","COALICION EQUIPO POR COLOMBIA"
"100",2022,12,0,1,"05040","Anorí","Antioquia",1235,"COALICION PACTO HISTORICO","Presidencia 1era vuelta",863,9831,"#1b3383","COALICION PACTO HISTORICO"
